GeneID	CTR02A	CTR02B	CTR02C	CTR02D	CTR02E	CTR02F	CTR19A	CTR19B	CTR19C	CTR19D	CTR19F	CTR19H	HD17A	HD17B	HD17C	HD17E	HD17F	HD18A	HD18B	HD18C	HD18D	HD18F	HD20A	HD20C	HD20D	HD20E	HD20F	HD20G
DDX11L1	8	0	6	1	4	4	2	4	2	2	7	2	5	3	4	6	4	1	6	3	0	4	0	0	0	1	2	1
WASH7P	525	707	528	587	584	469	276	455	367	308	574	170	93	103	104	169	110	136	167	174	167	134	168	253	252	230	170	534
MIR6859-1	5	6	2	3	8	0	6	14	8	5	16	1	0	3	0	2	0	1	2	3	1	2	0	2	7	5	1	13
LOC107985730	2	6	4	5	3	2	0	0	0	2	4	0	1	2	1	4	2	4	1	0	0	3	1	0	2	1	0	4
MIR1302-2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FAM138A	7	51	31	19	24	30	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
LOC105379212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100996442	15	19	15	26	38	12	20	18	17	42	112	18	17	12	24	21	22	21	28	21	18	21	27	8	19	22	15	59
SEPT14P18	27	32	14	16	24	14	10	14	10	13	34	4	7	9	7	20	14	7	11	9	11	5	9	3	7	10	6	20
CICP27	4	6	10	4	6	2	10	8	8	17	50	1	0	3	2	3	3	3	3	9	8	5	16	11	7	17	6	25
LOC729737	64	105	68	89	121	66	272	480	334	457	466	47	31	27	32	39	19	52	93	58	58	80	103	142	129	114	70	276
LOC102725121	3	4	8	7	5	7	3	12	4	4	14	1	17	10	11	11	5	2	3	1	0	0	0	1	2	1	2	0
LOC102723897	548	728	603	661	612	467	678	993	680	749	1541	299	176	229	170	343	218	326	310	337	298	295	457	646	571	562	367	1437
MIR6859-2	1	2	0	2	2	1	19	24	11	10	22	0	1	1	1	1	2	1	3	1	1	3	7	14	15	12	1	16
LOC107985721	7	8	3	11	5	5	2	0	0	4	10	0	1	1	2	11	5	4	4	9	7	7	2	0	2	0	0	9
RPL23AP21	75	45	41	56	68	56	49	38	40	65	122	190	201	243	179	266	221	183	169	156	220	193	51	52	37	68	179	124
OR4F29	0	1	0	0	0	1	0	1	0	0	3	1	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	3
CICP7	9	10	4	8	15	2	15	10	13	23	49	5	5	1	6	11	1	11	4	5	4	6	19	6	10	12	7	26
LOC100132287	138	191	158	208	293	131	189	316	235	217	314	33	7	10	15	31	22	63	79	64	57	56	77	63	85	76	43	163
LOC105378947	17	13	11	9	20	15	0	1	1	0	1	3	1	1	2	4	1	0	0	0	0	0	2	1	1	2	2	0
LOC101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR6723	741	551	825	854	622	412	142	145	131	78	394	110	435	194	286	500	218	223	412	266	283	256	107	102	80	103	93	322
OR4F16	2	4	2	0	3	2	1	1	2	3	7	1	1	1	2	13	9	1	0	0	1	0	1	1	1	1	0	10
SEPT14P14	16	13	11	6	15	13	12	11	10	8	14	6	5	2	2	10	1	10	5	6	2	9	4	3	9	8	3	18
CICP3	7	6	3	12	11	6	34	15	18	32	91	7	8	3	4	7	6	12	23	22	8	21	20	27	21	36	21	47
LOC100133331	140	177	133	187	287	119	272	471	295	329	401	30	20	16	30	44	23	57	93	73	64	55	126	154	158	155	69	341
LOC107984841	22	37	26	35	46	28	106	83	65	77	171	10	7	8	10	14	19	15	22	28	23	25	27	30	33	49	19	94
LOC107984847	21	44	25	43	45	28	89	84	71	123	165	22	14	7	13	15	14	23	48	26	27	26	48	54	58	62	36	133
LOC107984849	10	15	12	21	10	9	20	19	24	22	35	2	2	0	0	3	9	9	14	4	1	3	10	20	9	16	5	24
LOC100288069	13	12	14	16	31	8	23	10	13	26	39	4	12	8	8	10	9	16	10	11	10	11	20	17	10	15	18	26
LOC105378580	112	116	117	136	111	114	84	41	51	54	139	63	63	55	60	65	57	74	85	74	81	76	43	34	31	70	70	160
LOC100287934	19	22	21	12	9	7	21	17	16	16	67	15	3	2	14	29	7	32	19	21	7	27	14	10	14	22	9	74
FAM87B	20	19	12	19	15	8	6	1	0	3	24	8	3	10	4	6	17	15	8	10	3	10	4	4	4	7	6	13
LINC00115	35	50	33	40	44	32	23	16	18	25	51	21	12	17	13	46	22	21	13	27	21	22	7	9	11	29	19	31
LINC01128	1875	1856	1731	2047	1835	1522	427	235	319	523	884	631	653	553	601	1242	752	1200	792	954	640	900	366	261	244	403	825	856
LOC107984850	6	3	9	13	4	0	0	0	0	0	1	0	0	0	2	7	4	9	0	2	1	2	1	0	2	1	3	0
FAM41C	2	4	1	3	5	2	2	2	4	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0
TUBB8P11	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	3	1	1	0	1	0	0	0	0	0	0	1	1
LOC284600	469	686	786	1017	798	412	172	86	61	96	693	125	161	70	100	449	212	268	274	335	125	198	121	135	158	145	190	371
LOC100130417	33	56	52	68	87	70	22	28	4	9	72	6	19	9	2	42	13	18	27	23	10	13	10	34	17	23	25	89
LOC107985728	42	91	43	89	122	203	7	4	10	2	27	2	19	5	8	3	6	4	10	8	22	3	12	16	4	8	8	12
SAMD11	104	236	163	198	374	571	28	17	27	38	50	8	42	10	25	10	27	10	36	27	70	14	57	58	16	11	40	15
NOC2L	6532	5385	5180	5934	5224	4857	948	636	808	1130	1652	2021	2219	2288	1871	2448	1903	2047	1437	1983	2219	2068	1179	871	680	996	2641	1660
KLHL17	526	555	513	578	595	457	356	482	293	323	547	101	127	151	127	158	150	153	172	121	158	181	329	439	363	320	255	755
PLEKHN1	2	1	1	1	0	2	1	5	1	3	8	1	0	2	0	0	0	1	1	0	1	3	1	0	3	3	1	5
PERM1	2	3	0	0	2	1	3	0	1	5	5	1	0	1	5	1	3	0	1	1	0	1	3	2	2	6	2	4
HES4	459	401	347	623	428	334	456	265	212	359	341	209	108	138	141	223	161	102	148	148	174	115	214	278	281	145	373	457
ISG15	662	519	267	464	378	497	95	161	149	167	184	140	536	498	202	140	134	105	69	78	265	260	164	153	87	96	184	147
AGRN	26723	26653	15927	23587	30175	27659	5696	3878	4625	7784	5082	8362	15816	13701	10874	4254	6744	3428	3132	3898	8634	9517	9805	6829	3294	4737	10635	5384
LOC100288175	29	89	20	41	48	45	16	15	24	36	13	24	15	16	19	11	9	27	18	19	48	78	32	28	16	56	38	64
RNF223	1	10	4	4	9	3	3	2	2	5	3	1	4	0	1	1	0	1	6	1	4	8	3	5	3	12	0	10
LOC105378948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	480	536	418	458	601	534	208	398	266	429	453	135	162	208	122	212	158	179	176	237	260	176	301	361	367	323	300	743
LINC01342	0	0	0	0	0	1	1	3	11	5	1	0	0	0	5	1	0	4	3	0	4	3	5	5	1	1	0	7
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TTLL10-AS1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
TTLL10	0	1	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
TNFRSF18	6	1	5	6	4	3	0	1	1	6	3	2	2	1	3	0	3	0	0	1	4	1	0	9	6	5	2	4
TNFRSF4	1	0	0	1	2	3	0	0	0	4	5	1	2	0	0	1	1	2	0	1	0	1	4	0	1	1	0	4
SDF4	7437	6145	4440	5629	6026	7743	1123	963	1158	1581	1920	2120	3462	3347	2270	2055	2014	1652	1652	1909	3257	2568	1511	958	703	1141	2516	1480
B3GALT6	3101	2778	2016	2588	2934	2733	536	485	552	746	795	1084	1590	1507	1118	1333	1228	1244	1070	1138	1583	1417	614	427	352	529	1485	993
FAM132A	14	19	23	24	29	20	6	24	16	11	14	3	2	4	4	3	0	4	5	0	4	1	11	13	28	10	6	19
UBE2J2	3620	3513	2891	3425	3072	2861	662	438	497	770	988	1207	1236	1460	1108	1497	1107	1293	1166	1232	1504	1378	714	632	471	568	1913	1183
LOC101928895	19	23	18	17	23	19	87	65	58	99	176	14	8	2	4	10	4	4	9	10	7	12	73	69	85	97	12	127
SCNN1D	77	85	92	89	101	60	342	511	272	311	767	23	18	21	11	21	23	22	40	42	41	32	254	358	306	269	32	617
ACAP3	5685	4161	5390	6923	4854	4209	4223	3972	2860	2608	7585	1129	1335	1033	851	1408	1004	981	780	836	955	916	2299	3216	2518	2507	1640	5349
MIR6726	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUSL1	602	438	365	449	463	583	116	84	72	119	145	120	147	213	97	142	132	37	64	81	142	79	75	55	60	60	161	90
CPSF3L	3994	3603	3215	3719	3494	3273	1084	1261	1011	1284	2216	1296	1289	1453	1143	1324	1224	1255	1049	1203	1501	1423	1270	1282	1184	1335	1926	2881
MIR6727	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CPTP	1493	1369	1332	1653	1556	1289	236	182	177	394	323	462	413	560	366	636	490	570	301	546	546	577	278	172	155	221	705	284
TAS1R3	72	90	53	70	72	63	24	32	22	58	71	11	17	13	13	62	11	51	17	59	37	26	31	42	43	26	35	60
DVL1	3081	2796	2481	3121	2493	2487	867	791	703	1014	1323	815	755	885	665	844	758	703	595	812	953	750	957	792	570	692	1621	1000
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	2460	1578	583	801	1420	4638	236	352	660	380	645	189	1938	326	600	427	494	991	487	440	1130	67	530	384	344	340	373	848
AURKAIP1	3511	2630	2312	2620	2751	2863	509	497	554	630	873	978	1050	1161	783	1172	863	863	957	988	1441	1103	438	419	325	398	1334	730
CCNL2	2334	2549	2120	2523	2690	1770	5578	7420	6056	5964	10699	553	1163	1093	1015	1416	986	1433	2668	1613	1378	1547	6194	7305	7397	8364	901	25410
LOC148413	1233	1009	960	1095	1051	994	240	183	200	317	513	373	396	500	368	544	437	385	335	372	553	458	282	188	174	282	589	482
MRPL20	3269	2410	2001	2402	2375	2401	524	439	481	555	919	1086	1291	1424	951	1152	1075	1056	1220	1100	1534	1396	457	477	302	517	1194	1057
LOC107984868	6	8	1	5	3	1	2	1	2	6	15	5	0	1	2	9	2	2	0	2	2	0	5	4	2	4	15	22
ANKRD65	18	45	38	20	24	12	19	21	36	23	66	21	4	14	21	12	29	9	13	10	16	12	64	101	60	32	14	152
LOC105378585	2	2	2	0	2	1	4	3	9	10	9	1	1	0	1	0	5	2	3	2	1	1	9	20	10	14	1	47
TMEM88B	1	2	2	4	5	0	3	0	4	1	0	0	0	3	0	0	1	0	0	0	0	0	5	6	3	4	0	4
LOC102724312	2	8	6	7	6	4	1	3	10	8	15	8	1	3	6	5	0	4	0	0	2	3	10	4	7	6	8	15
LOC107985729	1	4	6	5	0	3	1	1	0	2	3	3	1	0	3	0	0	3	0	4	1	1	5	3	0	3	1	9
VWA1	800	771	714	897	644	1128	82	112	131	245	176	317	563	579	554	294	360	208	193	253	507	244	436	159	104	194	368	202
ATAD3C	47	37	31	48	45	41	46	41	60	61	79	33	46	49	31	33	20	27	15	23	55	37	59	60	55	56	65	99
ATAD3B	443	445	293	333	449	411	552	625	532	554	904	131	188	268	136	172	173	168	159	162	224	189	516	595	570	628	298	1211
ATAD3A	1713	1576	1155	1464	1555	1511	368	463	435	554	600	416	563	725	367	540	470	502	401	431	784	654	527	521	429	488	908	786
TMEM240	292	373	389	472	332	306	70	38	52	83	68	126	61	77	91	163	85	107	62	118	99	104	76	53	76	34	214	82
SSU72	6170	4504	4020	4913	4646	4738	901	643	921	965	1847	2244	2746	2862	2039	2802	1944	2334	2225	2293	2975	2498	789	711	509	952	2759	1760
C1orf233	922	679	790	847	836	849	120	78	123	90	203	172	376	282	148	227	154	205	122	190	434	323	107	74	47	82	286	70
LOC105378586	66	49	37	30	41	33	22	22	25	4	61	9	17	15	7	18	6	7	12	10	17	32	18	7	11	27	11	21
MIB2	1655	1756	1485	1836	1857	1576	731	480	497	707	839	437	347	458	307	326	278	282	208	366	517	440	704	611	484	420	825	565
MMP23B	53	66	7	12	27	102	6	13	30	20	10	6	19	5	4	2	10	2	3	3	9	0	17	32	14	6	13	24
CDK11B	2616	2451	2048	2585	2466	2026	827	837	812	1121	1620	1076	1106	1210	984	1415	1095	1631	1307	1357	1311	1330	983	915	860	1102	1686	2368
SLC35E2B	17567	20158	15064	18823	18807	14018	4540	3052	2794	5534	8286	6612	6385	5976	5956	10881	7944	5299	4006	4903	3890	5627	3455	2588	2690	3668	8083	8447
LOC100288379	30	65	54	52	54	11	63	28	31	73	149	26	30	15	34	51	23	47	110	84	39	48	51	34	46	71	39	172
LOC107985731	117	107	96	128	103	78	8	10	4	9	16	10	4	10	1	3	3	2	4	5	7	8	12	11	11	9	13	5
MMP23A	59	118	25	30	41	155	11	14	47	42	24	8	39	8	6	3	11	8	8	2	12	1	43	43	17	17	13	30
CDK11A	1453	1437	1233	1544	1444	1165	921	1026	979	1035	1843	732	795	904	720	1092	782	1175	993	1132	1226	1023	942	1062	1047	1154	1229	2915
SLC35E2	4307	4859	3875	4715	4826	3265	1822	1384	1228	1773	3778	1793	1886	1622	1789	3479	2272	5612	4195	5312	4150	5602	2037	1656	1973	2401	4109	6405
LOC100129381	40	62	36	74	50	30	62	41	54	69	162	48	15	18	24	49	27	30	55	32	14	28	39	34	34	64	35	171
NADK	4093	4052	3549	4230	3652	3495	1050	923	1041	1351	1863	1910	1943	2597	1884	2019	1774	1596	1426	1548	2355	1935	1212	1057	829	1274	2454	2220
GNB1	56821	59206	58840	70966	53347	45893	9755	5275	6676	13685	20689	32640	24626	32436	27599	56863	34381	40725	29390	36062	33393	33917	9434	7486	7094	10483	42248	22690
LOC105378949	68	39	39	51	48	42	8	12	6	3	8	8	13	11	2	15	10	17	7	11	21	22	8	3	6	13	18	11
CALML6	0	1	0	0	3	0	0	5	0	0	8	0	0	0	0	0	1	1	1	0	2	0	3	2	2	6	1	13
TMEM52	10	18	11	8	8	13	4	4	6	8	4	14	5	14	4	10	3	13	11	9	13	6	7	1	1	7	15	11
CFAP74	39	20	8	6	27	25	7	8	9	5	24	0	0	4	1	0	5	2	5	1	8	12	6	2	4	3	2	4
LOC107984872	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378589	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	1	5
GABRD	4	11	2	2	3	5	0	1	2	7	3	6	0	0	1	15	0	6	20	5	4	2	0	5	4	1	11	5
LOC105378590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	692	642	762	1040	352	113	155	118	129	244	244	489	408	279	280	1031	490	744	564	821	472	586	215	173	188	207	675	396
LOC100506504	203	312	320	330	298	147	57	79	68	119	116	124	75	49	107	182	111	165	122	178	84	137	63	71	64	85	147	174
FAAP20	1667	1541	1392	1561	1546	1667	321	268	345	442	489	516	499	750	419	679	447	479	402	553	726	583	432	430	294	285	1048	522
LOC105378593	1	1	0	0	0	0	0	1	2	3	3	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	8
LOC105378592	3	0	0	1	0	0	5	0	1	6	3	0	2	0	0	2	2	1	0	1	3	0	3	1	3	0	0	5
SKI	6238	7939	5872	7622	7987	6321	1378	906	1227	2031	2423	3283	3104	4260	3937	4886	3819	4264	3755	4142	4935	4627	1890	1292	1178	1726	5361	3618
MORN1	198	277	108	192	280	227	139	106	97	150	208	101	90	82	77	115	86	157	128	141	153	170	129	150	147	159	126	306
LOC100129534	90	101	46	70	138	100	36	43	34	48	85	34	26	48	46	66	60	78	36	71	102	95	31	28	25	63	72	88
RER1	6199	5261	4632	5524	5200	5371	1121	994	1190	1467	2576	2531	3401	3271	2700	3069	2331	2863	2408	2545	3108	2946	1314	1098	964	1562	2825	3351
PEX10	1650	1421	1030	1366	1464	1421	194	135	168	251	290	489	580	834	461	481	439	338	292	409	706	663	253	169	142	236	659	279
PLCH2	134	566	730	961	300	184	95	64	35	78	448	164	15	21	131	124	86	195	118	134	49	119	155	97	88	100	179	155
PANK4	2345	1957	2538	2771	1833	1599	545	487	456	759	1250	1076	919	1021	978	1467	989	1099	1017	1101	1050	845	620	540	442	598	1412	1283
HES5	1778	1244	1862	3201	2540	983	797	520	617	2151	1360	1186	357	1083	542	402	941	346	675	557	1511	793	1304	2760	277	836	2834	818
LOC115110	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	1	2	2	1
TNFRSF14	14	12	3	5	4	5	7	6	5	13	7	5	5	4	3	4	7	3	5	7	8	2	11	12	17	11	5	15
LOC100996583	0	0	1	0	0	0	2	1	0	0	3	0	1	0	0	1	2	4	3	1	0	0	0	0	0	0	0	5
FAM213B	2747	2488	1897	2328	2638	1923	513	397	483	815	944	1248	925	1710	1028	1251	1178	896	770	1067	1920	1709	691	539	367	644	1591	980
MMEL1	74	3	8	26	16	0	52	18	15	55	147	42	6	100	34	14	17	21	19	18	38	70	26	16	28	37	16	101
LOC105378597	0	1	0	1	0	0	2	3	1	2	13	1	0	0	1	0	1	1	3	0	0	0	0	0	0	0	1	2
TTC34	10	30	11	16	17	7	27	22	18	36	86	10	9	10	8	15	8	6	12	18	10	14	22	23	14	27	6	44
LOC105378603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378602	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC105378598	0	1	0	0	0	0	1	1	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2
LOC107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00982	99	185	140	164	257	86	106	189	136	134	162	122	21	159	144	148	189	69	178	181	202	157	195	295	201	257	398	463
PRDM16	572	1649	731	1027	1754	808	299	679	465	841	580	1091	347	1713	1188	975	1511	1032	1581	1235	2138	1387	1095	971	514	1099	2771	1369
MIR4251	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
LOC105378606	5	5	2	2	6	7	7	6	4	17	18	4	1	11	4	9	12	3	9	11	18	8	6	9	5	12	14	15
LOC107984909	0	2	3	0	5	2	0	2	1	2	5	0	0	1	5	5	1	3	6	3	8	2	1	3	1	4	2	2
LOC105378605	1	8	9	11	5	0	4	8	1	11	9	6	0	18	11	2	16	4	10	6	16	22	16	6	9	12	22	19
LOC105378604	24	48	5	13	47	63	2	12	11	7	25	28	10	54	32	17	42	23	29	30	48	44	24	18	12	26	48	17
ARHGEF16	17	39	39	43	11	20	6	6	10	8	13	11	10	8	11	7	4	0	5	16	1	8	5	19	8	6	9	14
MEGF6	112	148	86	99	139	119	54	100	68	70	110	52	70	26	25	25	37	29	59	28	41	45	101	113	71	66	62	141
LOC105378608	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR551A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378607	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPRG1L	1932	1448	1195	1396	1333	1458	256	213	251	353	724	598	763	697	512	860	734	797	642	729	852	728	270	210	201	321	681	628
WRAP73	1029	871	873	984	763	723	243	351	235	308	515	271	396	534	397	690	495	544	513	507	569	487	340	352	327	322	455	891
TP73	126	160	64	54	184	170	41	31	66	132	61	79	112	97	75	166	135	140	178	226	259	143	89	51	54	112	267	108
LOC105378610	1	1	0	0	1	0	1	0	0	0	2	1	1	0	0	0	0	3	2	1	2	1	1	0	0	0	0	0
LOC105378609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
