CTR02A_CD44	CTR02B_CD44	CTR02C_CD44	CTR02D_CD44	CTR19A_CD44	CTR19B_CD44	CTR19C_CD44	CTR19D_CD44	HD17A_CD44	HD17B_CD44	HD17C_CD44	HD17D_CD44	HD17E_CD44	HD18A_CD44	HD18B_CD44	HD18C_CD44	HD20A_CD44	HD20B_CD44	HD20C_CD44	HD20D_CD44
3.8-1.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4
3.8-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-HT3C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	542	520	421	439	365	375	311	469	505	388	493	360	340	547	490	493	416	439	437	340
A1BG-AS1	65	87	62	57	47	32	53	48	90	67	84	81	84	85	84	70	37	48	37	48
A1CF	1	1	2	2	0	1	0	0	0	0	4	2	1	1	0	0	0	0	0	1
A2M	1428	2251	12377	539	16088	20393	29728	32753	27604	13981	81248	28764	29779	6423	11435	776	9807	18798	2405	32801
A2M-AS1	25	25	31	20	18	3	4	37	127	138	196	90	115	79	72	16	6	43	15	67
A2ML1	2	2	1	2	1	1	4	4	6	3	10	2	5	2	5	4	0	3	1	9
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	2	2	0	0	0	0	1	3	6	5	0	2	2	0	1	0	0	0	3
A4GALT	485	311	196	492	297	102	87	173	98	188	22	120	77	211	94	207	110	98	397	11
A4GNT	1	1	2	3	2	0	1	2	6	4	5	7	3	1	3	3	0	3	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	1913	2025	1804	1939	1435	1930	1967	2473	1939	1788	2351	1861	1850	1771	1848	1616	1531	2084	1278	2083
AACS	2015	2130	1739	1663	1634	1543	1677	2159	1816	1663	2021	1572	1443	2262	2091	1470	1677	2216	1772	1801
AACSP1	0	1	28	3	1	0	0	0	9	0	11	0	16	2	63	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AADAT	545	574	636	498	440	402	545	578	664	791	922	681	861	857	789	444	582	885	349	626
AAED1	460	511	437	363	415	345	414	382	445	359	528	358	324	548	475	282	403	469	438	342
AAGAB	3062	3202	3664	3044	2704	2243	2831	3134	3483	3494	4685	2862	3390	3720	3655	2345	2812	3862	2383	2504
AAK1	4278	3292	4475	4201	3571	2404	3520	2801	4176	3784	5823	3961	4347	5300	5592	5029	3248	4182	2950	3481
AAMDC	625	626	652	620	644	551	619	818	656	588	711	514	606	769	882	429	695	758	550	713
AAMP	3497	3907	4055	3269	3534	3275	3978	4775	3962	4237	5388	3808	3996	4923	4738	3564	3812	5396	3343	4097
AANAT	10	3	5	10	2	2	2	3	2	6	1	3	1	5	2	3	2	2	2	0
AAR2	2715	2726	2157	2135	2537	2079	2348	2663	2215	2308	2812	2009	1987	2407	2310	1966	1982	2499	1768	1929
AARD	1	4	3	3	1	0	0	1	2	0	11	1	0	1	3	1	1	3	0	0
AARS	12734	11121	16435	19334	13928	10965	11148	12971	12364	11024	13907	12541	10460	14716	11199	18126	8062	8829	9950	7444
AARS2	1488	1777	1453	1393	808	903	1081	1312	1549	1521	1825	1696	1557	1956	1750	1212	1240	1552	1055	1317
AARSD1	12	7	9	14	5	3	6	9	11	12	12	16	11	15	10	11	9	5	5	6
AASDH	567	715	604	605	318	288	429	435	787	723	1065	689	797	701	819	539	291	406	275	429
AASDHPPT	3000	3101	3689	3077	3567	2907	3774	3914	3506	3730	5316	3280	3768	3831	3796	2336	3251	4386	2509	3928
AASS	495	732	873	292	621	1222	1678	1393	2169	2102	3021	2513	2514	1975	2700	934	1114	1529	751	2618
AATBC	12	18	4	7	4	13	10	23	22	21	18	13	14	18	33	5	8	15	8	14
AATF	2568	2518	2649	3083	2630	2098	2367	2852	2154	2426	2458	2397	2098	3277	2387	2443	2212	2572	1735	1400
AATK	4	19	24	8	19	77	46	132	79	47	69	66	58	59	128	16	58	78	45	73
AATK-AS1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1
ABALON	43	59	47	45	40	44	46	54	71	78	88	52	64	51	81	34	59	121	55	102
ABAT	285	327	1288	169	1670	3217	5837	4318	5136	3129	7697	4224	4356	3078	7501	410	2346	3036	808	9426
ABCA1	5972	6557	8757	5288	8755	10270	12264	11335	18770	19571	24325	13237	17445	25639	29531	11923	16192	17787	8205	17225
ABCA10	0	1	0	0	1	0	0	0	0	1	1	0	0	3	0	0	0	0	4	0
ABCA11P	256	336	416	297	256	210	354	368	319	358	541	326	371	367	456	212	310	436	223	427
ABCA12	35	37	98	31	94	89	105	128	133	117	166	99	108	176	236	50	160	115	58	45
ABCA13	149	72	64	164	710	127	880	235	335	407	99	133	56	39	45	34	53	373	90	14
ABCA17P	17	28	27	12	4	14	15	10	13	11	17	9	12	22	13	9	10	15	11	12
ABCA2	5232	6763	5151	4421	4350	4199	4865	5444	5620	3725	6581	4654	4044	5935	6858	4860	4021	5962	4127	6342
ABCA3	1540	1989	6439	2730	4193	7962	7140	9704	10187	5603	7969	7927	6286	8444	10414	1881	9907	9280	5235	11857
ABCA4	55	27	45	18	124	95	189	74	41	62	24	23	81	93	53	21	77	123	23	66
ABCA5	94	108	69	97	78	25	78	79	35	66	146	48	33	103	37	59	30	33	86	22
ABCA6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	34	0
ABCA7	464	723	414	241	242	301	404	448	781	417	898	446	444	493	751	196	220	338	213	483
ABCA8	32	88	190	8	66	19	121	80	78	50	176	21	25	117	8	16	39	35	10	9
ABCA9	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	2	1	5	0
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABCB1	35	372	128	24	343	356	272	278	99	180	37	282	239	237	30	19	255	153	114	88
ABCB10	1052	983	1162	1147	958	911	1062	1123	971	893	1127	1000	1043	1542	1197	1094	1098	1453	1060	1407
ABCB10P1	4	4	7	9	5	6	2	4	2	3	7	2	4	10	4	8	3	8	4	6
ABCB10P3	10	12	10	15	18	13	16	12	11	17	16	11	12	18	15	7	16	23	19	15
ABCB10P4	3	1	7	4	4	2	2	3	5	6	5	5	8	6	5	5	9	5	4	5
ABCB11	7	1	13	1	4	30	20	13	15	17	18	34	26	35	35	2	10	9	10	32
ABCB4	91	76	14	105	252	76	138	203	57	117	72	17	24	55	12	23	138	186	64	43
ABCB5	0	47	10	0	0	0	2	0	0	8	3	3	3	6	0	3	1	4	5	0
ABCB6	613	782	1089	998	956	1021	1177	1159	1582	1382	2369	1586	1225	1203	1539	1471	1065	1193	772	1102
ABCB7	1276	1526	1208	1011	1246	1784	1584	2080	2178	1726	2406	1719	2073	1732	2386	973	1821	2184	1283	2353
ABCB8	1528	1425	1574	1387	1320	1289	1498	1852	1804	1452	2246	1471	1483	1562	1516	1076	1262	1538	1260	1447
ABCB9	332	373	394	245	346	360	371	515	535	380	478	501	462	640	581	391	400	509	369	405
ABCC1	7502	7233	7446	6294	7016	2790	3985	3987	4704	4785	4831	4267	3213	8858	5176	5645	4428	5609	5902	1761
ABCC10	1747	1438	1370	1491	1350	861	1252	1326	1546	1338	1709	1295	1179	1723	1548	1436	981	1177	975	954
ABCC11	6	2	14	6	3	7	11	3	10	8	12	6	16	8	13	3	4	11	3	9
ABCC12	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	1	2	0	1	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	31	28	29	24	19	9	15	14	37	42	29	14	39	43	35	32	16	16	14	8
ABCC3	1142	3032	1950	744	1189	1135	1187	1948	4660	2615	4178	2475	2604	3680	4616	1463	1190	1840	1005	1314
ABCC4	1037	2225	1497	1039	1688	1817	1518	1895	1487	1938	1623	1531	1603	2328	1881	1300	2284	2440	1912	1492
ABCC5	857	1020	936	590	616	448	755	682	1152	1076	1495	1053	1199	1413	1401	858	709	1049	493	877
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	36	73	45	15	51	89	48	150	102	78	105	37	92	79	152	26	66	107	103	168
ABCC6P1	16	22	20	0	21	30	27	74	70	44	59	22	55	55	98	5	28	30	28	91
ABCC6P2	29	35	32	5	42	73	61	124	71	76	98	26	63	41	87	2	50	101	48	83
ABCC8	0	0	0	0	29	11	18	20	0	0	0	0	0	1	0	0	21	20	5	7
ABCC9	35	52	31	74	22	223	341	279	550	84	566	640	339	58	222	24	154	119	34	2369
ABCD1	1041	1391	1314	767	1336	1405	1318	2366	1930	1641	1974	1399	1711	1760	1777	740	2206	2010	1449	1443
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCD1P5	0	1	3	0	0	0	0	0	1	1	0	0	1	1	3	0	3	1	2	0
ABCD2	5	3	14	7	45	68	181	104	126	52	312	102	113	39	130	6	63	49	7	154
ABCD3	3149	3076	3385	2507	3768	5923	6104	6238	5449	5400	6817	5262	6982	5522	7110	3378	5684	6902	3532	7415
ABCD4	986	1160	1530	892	1073	1218	1456	2197	2538	2230	3026	2184	1931	2495	2491	859	1390	1870	944	2082
ABCE1	6918	7316	6521	6728	4494	3835	4073	3808	4859	4837	4771	5285	4846	5909	4836	5759	4774	5647	4223	3200
ABCF1	4802	4864	4391	4072	4041	3360	4720	5447	4953	5171	6423	5196	5451	5493	5438	4714	4325	5922	3921	4138
ABCF2	3814	3653	4325	4073	4028	3420	3891	4493	3536	4148	4556	3683	3942	4939	4188	3814	4142	5470	3440	3395
ABCF2P1	66	52	72	56	42	47	40	45	63	64	73	61	70	72	59	74	42	43	47	37
ABCF3	1786	2089	1964	1650	1968	1721	1962	2489	2296	1984	2845	2218	2161	2409	2541	1967	2024	2479	1791	1992
ABCG1	10	25	28	18	25	174	98	59	194	35	191	53	47	84	56	10	39	39	24	60
ABCG2	9	14	8	2	3	2	1	2	0	1	2	3	1	10	0	14	8	0	15	1
ABCG4	130	157	76	35	196	124	109	193	207	61	75	64	102	184	250	79	164	131	83	101
ABCG5	5	2	2	1	1	0	3	1	5	2	10	6	7	9	9	7	1	2	2	0
ABCG8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ABHD1	6	6	5	2	6	7	11	17	9	10	11	8	8	14	11	5	10	5	1	16
ABHD10	1629	1403	1258	1395	1248	1262	1414	1561	1356	1383	1864	1250	1475	1641	1625	1248	1244	1500	1054	1384
ABHD11	271	367	303	220	303	472	451	749	534	518	768	478	497	611	668	232	437	608	329	443
ABHD11-AS1	21	22	27	29	4	7	4	9	3	8	6	4	8	28	41	11	29	19	29	17
ABHD12	2610	2697	3625	3272	3616	3373	3622	5600	5347	5536	5824	4471	4331	6898	6268	3635	6293	7385	5368	4363
ABHD12B	11	14	13	16	5	24	10	23	21	8	12	6	12	13	18	4	12	27	11	13
ABHD13	1107	1131	1073	921	1168	985	1115	1105	1119	1114	1492	1062	1145	1512	1394	954	1058	1362	1000	1041
ABHD14A	223	304	146	199	262	273	323	488	241	175	373	182	181	229	336	186	243	327	178	403
ABHD14A-ACY1	0	1	2	0	0	1	0	1	1	1	3	0	1	0	1	0	0	0	0	1
ABHD14B	1170	1260	981	1044	861	644	730	1027	566	421	676	489	359	879	641	759	537	540	645	502
ABHD15	484	387	660	454	575	709	712	1014	640	529	650	500	575	920	966	599	936	1001	665	1118
ABHD16A	1021	1076	1663	949	1469	1425	1976	2231	1846	1825	2541	1865	1677	2018	1918	1015	1652	2198	1363	2063
ABHD16B	58	92	84	67	80	103	112	133	99	122	135	110	120	111	147	39	121	187	76	190
ABHD17A	1467	1482	1432	1335	1028	1040	1130	1463	1438	1315	2004	1352	1255	1945	1797	1045	1185	1604	1083	1320
ABHD17AP1	375	330	273	324	314	303	302	507	323	303	415	261	306	377	345	251	278	390	290	387
ABHD17AP3	77	57	59	71	60	52	61	99	82	56	78	48	55	61	62	52	56	95	65	72
ABHD17AP4	109	70	87	82	68	94	101	111	97	91	118	78	74	101	96	57	87	115	100	119
ABHD17AP6	117	106	80	96	89	86	106	133	108	100	120	109	96	110	115	78	93	128	101	109
ABHD17B	833	798	889	746	904	1334	1473	1775	1508	1448	1807	1230	1805	1525	1961	814	1446	1687	927	1688
ABHD17C	721	680	733	487	452	763	848	1085	848	984	1394	853	1195	872	1055	582	865	1358	852	1395
ABHD18	464	504	460	413	336	311	351	323	534	336	538	479	469	504	460	408	289	290	226	248
ABHD2	7411	9323	9652	4955	10124	8982	9209	7353	13480	10231	12160	13460	10073	10845	12517	7018	9648	12109	7780	7688
ABHD3	152	250	236	96	341	811	826	909	702	780	1113	860	1149	529	1008	176	582	1122	290	1395
