name	condition	cell_line	gender	read_type	xCAG
CTR02A	CTR	CTR02	Male	paired	18
CTR02B	CTR	CTR02	Male	paired	18
CTR02C	CTR	CTR02	Male	paired	18
CTR02D	CTR	CTR02	Male	paired	18
CTR02E	CTR	CTR02	Male	paired	18
CTR02F	CTR	CTR02	Male	paired	18
CTR19A	CTR	CTR19	Female	single	18
CTR19B	CTR	CTR19	Female	single	18
CTR19C	CTR	CTR19	Female	single	18
CTR19D	CTR	CTR19	Female	single	18
CTR19F	CTR	CTR19	Female	single	18
CTR19H	CTR	CTR19	Female	single	18
HD17A	HD	HD17	Male	single	40
HD17B	HD	HD17	Male	single	40
HD17C	HD	HD17	Male	single	40
HD17E	HD	HD17	Male	single	40
HD17F	HD	HD17	Male	single	40
HD18A	HD	HD18	Female	single	46
HD18B	HD	HD18	Female	single	46
HD18C	HD	HD18	Female	single	46
HD18D	HD	HD18	Female	single	46
HD18F	HD	HD18	Female	single	46
HD20A	HD	HD20	Female	single	48
HD20C	HD	HD20	Female	single	48
HD20D	HD	HD20	Female	single	48
HD20E	HD	HD20	Female	single	48
HD20F	HD	HD20	Female	single	48
HD20G	HD	HD20	Female	single	48
